sampleid,beta_muricholic_acid,chenodeoxycholic_acid,chenodeoxycholic_acid_3_sulfate,cholic_acid,cholic_acid_3_sulfate,deoxycholic_acid,deoxycholic_acid_3_sulfate,glycochenodeoxycholic_acid,glycochenodeoxycholic_acid_3_sulfate,glycocholic_acid,glycocholic_acid_3_sulfate,glycodeoxycholic_acid,glycodeoxycholic_acid_3_sulfate,glycolithocholic_acid,glycolithocholic_acid_3_sulfate,glycoursodeoxycholic_acid,glycoursodeoxycholic_acid_3_sulfate,lithocholic_acid,lithocholic_acid_3_sulfate,omega_muricholic_acid,taurochenodeoxycholic_acid,taurocholic_acid,taurodeoxycholic_acid,taurolithocholic_acid,tauroursodeoxycholic_acid,ursodeoxycholic_acid,ursodeoxycholic_acid_3_sulfate
689F,0,670.4777,2612.0207,2011.3137,46.7178,0,0,29496.2587,4887.3953,52083.6537,355.0592,63.0891,143.436,0,159.4796,46387.871400000004,20380.9309,0,225.4116,28.2553,43.7468721,14729.085,0,0,38.0079846,7591.7796,13505.5218
1191T,0,29662.843,3279.4317,25828.7043,171.181,16746.6828,2121.6661,233.7024468,79.8923,44.9722681,7.6109,53.0383,18.6801,0,67.3295,80.9160004,89.1034799,15621.568,596.8604,98.8781,1029.3013,399.0114047,221.9114,25.8664,286.9824563,33718.4797,12881.8172
759B,0,10063.1812,1300.7396,15113.3277,10.4125,6.6822,0,33474.9814,2249.9965,44771.3915,66.5592,41.2424,40.2259,0,96.5907,115113.0598,32077.5362,17.5198,110.201,93.1962,5708.2538,17486.2984,31.4988,0,9037.1271,159913.3747,12659.644
928B,16.8472,16270.67,1926.7297,12210.3746,12.2676,41.6548,9.9941,34907.299,222.9394,77051.5448,59.2842,91.2117,32.9834,0,14.2378,82949.0548,5337.5784,0,130.8063,133.527,644.738,7644.448,23.7841,0,1066.753,35019.6758,12410.7695
1705W,5.1447,2903.1886,1227.0377,10879.9777,23.4329,0,0,138.4614714,211.5373,156.0759474,8.6875,0,0,0,0,1587.1651,4919.0538,5.7008,47.1896,116.5231,117.1847017,97.3729478,0,0,3201.3737,45896.2192,12401.2341
563D,5.2821,6820.0274,745.7725,37782.2506,65.3614,17.3431,27.242,204.3218341,1155.4476,305.25059,221.3839,0,8.8832,0,67.0007,3273.8338,9707.9976,0,114.3481,169.0882,3460.0374,5537.4999,5.8911,0,10220.0153,47537.8222,11803.9859
449C,7.6037,9445.7726,1496.0798,9188.7322,0,1385.185,169.9395,462.2158716,8.2098,7171.0999,18.8486,337.5512,222.1109,0,0,3621.8208,139.4056741,15.3696,420.5693,55.3189,23.877331,5217.0892,153.6398,0,96.8642353,63704.201,11711.739
FMT.0147H,0,85.7015425,1279.7758,24.0522,13.149,0,9.5974,144.1686838,267.6292,837.8662,222.7874,0,16.4327,0,0,827.3979,9505.1961,0,45.6898,6.1242,0,192.0512484,0,0,9.9826391,4301.0384,11556.4612
2035D,9.2215,11501.6662,998.1775,23718.4257,16.0672,406.495,115.0769,11138.7466,1542.8036,15699.2568,55.49,311.1983,288.3012,0,44.1726,82471.7492,18841.833,0,273.8688,307.1514,50.8143343,8167.3921,21.0089,0,135.8071692,39349.1107,10822.3922
755D,0,2572.9413,1349.1938,5789.5319,26.2914,44.2247,61.8798,196.9084371,28.87,271.8683456,31.22,0,8.9097,0,0,1847.6232,1017.9039,0,63.4714,0,23.3303127,201.3563732,0,0,87.0883741,27438.264,10458.9114
FMT.0191O,9.282,15232.2472,2379.5337,29777.1477,90.2883,210.7922,17.4537,93.0899158,19.4693,49.69114435,5.464,0,0,0,0,131.9762616,22.5868376,43.9272,134.1335,142.3117,14.2505919,16.4847477,0,0,14.2826229,36573.3707,10275.416
1839K,0,1172.3748,730.6057,7312.3027,15.8783,10.588,13.2952,5.1132153,326.2841,228.1791215,52.0166,0,0,0,0,1468.0035,7058.2082,0,19.618,107.3838,0,381.3339648,0,0,57.4358538,19468.8343,9734.0784
1460O,46.4369,15901.0679,111.5961,41628.0466,0,47.36,0,242.2458263,0,532.4683,0,0,0,0,15.1723,1973.714,96.2627643,28.5067,0,257.2322,53.6640256,688.6831,0,0,324.8801119,165999.3048,9624.5548
1789J,0,2299.9867,1277.3865,16754.2962,51.4759,0,31.1836,107.5946203,4291.2582,38.7730143,403.044,0,0,0,49.9705,83.8788679,24317.7238,0,34.1527,158.2719,718.9856,546.1246,0,0,3876.2427,7198.5634,9516.5216
2260D,9.8528,4099.6284,215.7675,41842.0214,25.2502,35.315,8.6353,183.3415291,1508.435,261.1150964,438.4921,0,26.7108,0,44.4902,10456.9043,44420.8391,0,24.8963,351.1611,1104.7427,4708.9629,0,0,7114.707,92084.746,9503.3912
2182F,8.7187,3770.1549,436.8026,2900.2255,37.9807,11589.1331,250.6302,627.9428,31.3366,587.1113,0,153.1557,11.8462,8.8327,104.4869,1319.2317,94.5444791,19131.8613,1350.7199,79.068,92.743981,78.63367115,17.0394,0,138.6646903,19260.3419,9232.0061
1846E,0,2093.4789,812.5973,16147.8477,20.8276,0,6.2103,917.0559,2948.9107,2035.6691,98.0531,0,60.6424,0,96.2483,31782.4445,70143.456,0,31.2457,247.8936,2504.8237,1696.3973,0,0,8962.3259,16967.5329,8632.3734
1195DD,0,2482.673,1108.6389,15263.4196,21.8337,0,7.6619,173.8290339,1603.2569,177.9840739,82.2611,0,5.0585,0,43.224,779.4697,11106.4119,0,68.481,78.7903,7830.9788,5133.3038,0,0,15995.343,3164.23,8594.4209
1810C,7.6966,989.1581,813.0678,9838.0762,16.4087,16.4536,8.7392,38291.033,2520.8655,98979.3706,153.7308,24.9678,72.3567,0,89.6754,73841.7129,26146.3485,0,183.2256,77.6527,112.2316414,12741.9191,0,0,185.6143065,18597.349,8401.5519
816B,0,31.7989173,2989.0439,14132.3101,1139.9302,12.5234,3715.0369,25.8589822,13.5949,3204.0709,337.9646,8.9009,21.8748,0,18.3988,13.5996508,25.2592907,0,1933.6972,30.5699,0,197.956155,0,0,0,26.9197672,7992.5667
FMT.0243H,12.9026,4808.6442,656.1054,6211.6134,19.3706,7.5515,11.7683,14110.7577,78.3933,67223.8951,36.8502,111.8272,30.1422,0,7.683,108057.6227,1988.133,7.2056,105.446,116.3812,0,0,0,0,13.9779725,109100.1134,7892.0809
1366U,22.2326,28234.2235,1005.8818,198867.4908,128.3004,57.3577,7.4895,934.8472,1664.7406,4375.2116,254.7985,0,28.4114,0,91.0245,9739.4459,9121.5734,9.5716,96.7,653.3896,11260.1634,16914.4135,0,0,15066.5957,96500.3533,7890.1359
1243Q,0,3329.8755,768.5883,7009.9411,43.8141,6.452,0,16585.669,11356.727,35517.2689,261.4633,33.0387,67.0384,0,308.402,35373.3742,95498.7692,0,25.6371,31.3748,2835.1148,4443.2673,0,0,4841.705,22914.4906,7170.7306
1567J,0,24080.9032,1251.3371,30603.2776,38.2824,503.0629,36.2865,6684.3321,858.1258,16361.3239,91.0894,56.3123,35.3226,0,115.1557,8265.3916,5041.9166,460.8402,106.964,155.1591,404.7323272,2615.376,10.9975,0,264.0560901,69390.7156,6989.6239
817C,0,3366.8928,781.4388,5549.827,5.1664,61.9686,126.6344,45.7804847,198.3174,20.5959208,0,0,0,0,0,229.7701077,1513.0722,0,58.6264,34.5847,178.3945191,17.28900335,0,0,3989.631,21056.7951,6502.956
1896F,0,8320.2146,557.7317,51933.5913,12.2881,44.1087,15.5474,427.026615,625.3495,945.7368,32.7068,0,0,0,49.5625,4389.6205,4891.1407,5.4318,66.8055,206.4142,4070.2828,2729.0942,0,0,11789.1391,21491.3097,6436.7156
FMT.0147M,0,1534.1322,273.4459,4378.2592,22.1217,0,9.2237,889.0952,1137.8365,4291.2519,450.8682,0,6.4389,0,20.0484,3811.4985,26320.308,0,12.7686,41.2045,191.3168922,893.3289,0,0,533.131,20252.3558,6418.6239
1366N,5.9042,2982.1383,1522.0513,64499.0162,46.0766,0,5.4552,165.1653602,559.9261,1198.5342,61.7007,0,0,0,11.3579,284.6943752,1648.3866,0,224.7357,220.7029,2717.3006,1210.2939,0,0,11637.2739,3084.7097,6309.8441
2158B,0,163.3863217,677.3703,2377.8167,40.008,0,5.4747,2969.3464,5940.4668,13432.0341,848.9073,0,109.9543,0,85.2525,16248.6711,66773.9945,0,23.363,11.55,535.4913,2547.8318,0,0,1512.7536,325.3691185,6264.8282
2151E,15.981,12905.7244,210.3455,32438.1488,6.4033,1119.5471,70.6482,664.8087,411.5835,329.1485965,31.1169,34.9465,134.0332,0,72.1748,7456.2214,9310.0344,9.7993,42.8578,182.7806,3587.8919,3996.2498,167.4103,49.8243,12353.2882,239559.5054,5795.0918
948E,0,32.407128,81.2444,801.2349,38.5228,0,0,18339.0236,4322.9796,97658.0359,644.3624,120.6601,211.7165,0,513.7122,58382.4754,94153.7607,0,9.6398,8.4124,3734.6852,16902.0879,44.965,0,4855.5287,190.7269507,5448.8644
2133D,6.0233,50189.8328,576.8504,63854.8127,18.4349,223.8062,0,30694.0181,633.8444,20505.0237,30.2355,10.0665,0,11.3964,73.3816,90635.6075,3394.8951,22.526,234.3832,300.8886,213.9581825,8941.3324,0,0,324.3263315,96350.1227,5405.7857
2418K,11.3992,13927.1146,250.0383,21030.3855,34.5526,24648.2261,41.8558,30.7689786,9.7096,6.00103535,5.2147,18.2932,0,0,6.5129,2938.2802,14.321416,9948.4021,264.0999,146.4134,14.3687507,88.1719878,50.972,0,51.5595889,156321.7121,5273.1471
1842U,0,4041.305,270.1153,3704.336,0,0,0,32129.6202,847.8845,70960.4808,66.8648,33.5279,13.9223,0,54.3469,43885.991,5595.5645,0,13.6359,102.0492,3902.4401,6436.5747,0,0,6397.7439,21610.4533,5136.8921
613K,16.9153,4720.4185,2161.775,24161.8265,42.5242,383.9983,1097.1984,17904.2208,3065.643,22041.2841,215.5401,1671.6996,3041.8236,0,190.1018,40863.1804,13226.0987,0,448.8955,99.3092,11.9258531,41.20017105,0,0,15.0499433,9021.9553,4600.9552
1975F,0,25.0366607,77.1394,13.5377,0,357.7739,601.1524,0,0,0,0,0,0,21.489,236.915,85.4651142,62.3387322,10293.8666,4931.6644,27.5289,0,0,0,0,0,7378.3524,4597.2417
1024E,0,3435.3151,272.9821,2856.4949,11.5882,7.8654,0,13.9096397,0,8.47765805,0,0,0,0,0,45.8865429,101.36032,0,24.6471,36.3255,1872.779,1143.6765,0,0,4323.9716,17970.1971,4571.8902
1326I,0,648.6082,25.2461,1051.042,0,0,0,10873.5217,3542.1004,8826.0708,49.7276,9.3239,35.4418,0,90.2071,59792.5738,56065.8311,0,6.0203,18.6649,1883.231,1625.6622,0,0,5071.6724,37303.63,4232.1328
284D,0,188.5280055,725.1643,2306.1464,13.788,0,21.2646,0,1134.7574,8.1449088,88.2528,0,0,0,0,10.7542303,4278.8135,0,36.2032,9.6565,362.2364436,345.1204992,0,0,1361.3363,117.625872,4210.9321
1975E,5.7563,7.2185108,216.8926,45.9024,5.2871,161.6473,475.1685,0,12.8583,0,0,0,47.1145,0,149.3855,214.5774485,1063.5158,2330.8643,4726.6775,78.014,0,0,0,0,0,8229.2938,4171.5481
FMT.0216G,0,20083.6915,428.2635,58607.4361,65.8378,8.716,0,126.5071463,0,111.9453037,0,0,0,0,0,203.1580411,25.6052255,6.8289,23.5891,253.2461,465.104356,528.5229,0,0,605.1784,27166.7598,4090.3749
2163H,0,739.5117,285.5778,19780.7821,16.5075,0,0,0,77.0594,51.7331321,25.3234,0,0,0,0,21.1995394,393.4531444,0,19.6448,97.9376,19.8873361,49.8516883,0,0,1795.8668,11600.7126,4075.4191
1252Q,5.5575,1516.0896,183.8328,8396.5538,11.1812,0,11.9187,103.4608418,1017.7247,84.596406150000007,125.9464,0,28.0212,0,63.5116,6020.4188,12946.778,6.0598,35.0859,161.576,716.4398,1458.8508,0,0,6574.6962,26271.0291,3967.36
FMT.0222S,0,3581.1637,212.3149,33058.8404,15.2477,0,6.613,184.6042623,529.3749,696.3391,116.4795,0,0,0,21.8775,8726.5639,6215.8313,0,27.5003,125.0014,3117.7409,4786.7035,0,0,5183.9193,11992.4104,3785.2114
1814X,0,2659.4189,20.3587,40233.8048,6.3674,7.8975,0,51617.85,927.9215,75286.7769,108.1737,86.8067,0,0,151.3878,206582.9267,8720.1191,0,11.4974,123.2916,13261.0402,23654.9437,30.3642,7.7211,28332.3585,9151.5699,3771.3561
FMT.0220E,6.7873,566.8728,89.8829,538.3732,6.4492,15033.2631,99.3388,257.7908265,0,151.578167,0,194.3375,0,22.7274,81.4994,295.603422,13.7487729,20250.4601,333.5147,32.4285,22.8235111,16.29258245,22.2949,20.849,26.2020698,5652.1014,3694.6824
668T,0,8529.1658,204.3394,17576.7447,12.3143,6607.4249,835.663,221.9563232,10.1255,1200.4568,0,454.3205,56.9714,0,85.022,405.5462705,96.5104707,237.3283,2777.5239,86.5298,37.9168742,231.3564838,250.3366,0,155.5197584,47507.9356,3681.8961
FMT.0073P,0,18.3590381,24.4167,245.4186,0,0,0,38091.7014,5541.145,101398.6204,166.1282,73.0559,102.7014,0,156.6647,133336.3623,43621.991,0,5.6259,0,4034.1464,9952.3785,8.0946,0,9773.9034,2229.5535,3510.2003
1511K,0,101.5827279,85.5719,77.1767,0,0,0,29536.376,4963.4422,45241.4535,221.1484,42.5202,63.4358,0,198.8974,74580.8197,38174.0187,0,6.1032,0,5455.1495,8336.008,0,0,9076.5833,5037.6957,3434.1841
274D,0,3890.3829,844.5541,111.1153,0,19.256,46.6349,7398.3517,799.4021,7001.42,38.5816,40.2789,114.4146,0,41.978,14219.9843,4666.2734,0,61.5928,11.5489,45.5850956,4276.8349,35.6128,0,58.5046215,11362.7599,3431.9882
2147I,0,17.2441775,0,49.7201,0,0,0,19735.8273,1038.9047,44863.4555,16.9906,48.8244,26.0126,0,153.6434,155033.7807,28128.0361,0,6.3114,0,3787.1552,9168.3029,14.6527,0,19715.0719,20456.7352,3196.8483
FMT.0192P,0,3696.9348,515.1433,3106.4399,5.686,669.7893,242.7085,5111.8416,669.9422,7500.2988,31.7632,1338.1093,789.8998,7.2777,528.4555,15675.4804,6894.8077,53.4348,479.0209,38.0758,189.317446,2042.6818,120.713,0,946.8748,25267.0322,3095.273
2285G,0,25.8233722,0,59.7748,0,0,0,12153.5607,461.8725,32483.5132,43.9288,37.3254,13.0196,0,84.268,121408.5779,14249.2151,0,10.0376,0,1548.877,4035.5287,0,0,10357.9501,3798.2243,3089.3548
1577J,5.8027,11236.7145,336.031,8000.6692,0,0,0,169669.4795,1198.6179,106512.7339,20.1529,134.9707,16.9405,9.1266,154.284,136115.4247,6663.3507,5.3111,46.1566,63.6267,4767.8385,16585.8247,0,5.907,2295.7262,45493.5163,3088.9472
983C,0,30.5694161,7.0979,115.0349,0,0,0,32922.5411,1099.261,50307.8793,74.1928,27.7384,13.02,0,225.8052,194914.4646,23091.8401,0,0,0,4627.0704,6867.3663,0,0,20310.4773,13663.2497,3047.1286
2323H,0,2374.5341,358.9871,1636.0186,8.1463,0,0,46392.7396,4128.2861,49560.8797,148.5675,64.8169,52.9643,0,185.2602,101148.3332,44143.5035,0,17.9819,8.3493,7604.3597,9921.6826,21.886,7.0898,13835.2606,6028.2808000000005,2901.3481
2090E,0,238.4212873,57.5053,240.4729,0,0,17.6782,20696.2894,1484.588,26836.892,87.1488,907.7916,583.7412,0,221.2689,95189.6782,36872.8227,0,9.4623,0,7372.0631,12452.5123,359.1103,6.062,30937.3478,1994.5405,2838.0232
2119G,5.8488,36.1894984,12.2092,500.8832,0,0,0,30195.3597,1364.5276,42964.9775,103.8065,42.9426,28.8549,0,150.3191,125083.2351,18894.9311,0,0,0,8619.4986,13146.0058,21.2736,0,23433.2572,9734.2726,2795.7828
179D,11.3985,123.7729933,4666.9772,729.4588,816.3529,10202.6664,6441.712,14.0356283,0,9.9929601,0,0,6.4867,0,7.0166,0,0,2080.8297,2756.1743,5.6125,0,5.3162144,0,0,0,257.5366456,2617.2272
FMT.0004B,6.5624,2091.7838,224.7104,721.648,0,28.9889,9.295,45758.261,1357.9674,77763.0921,41.6231,431.8761,77.3754,0,151.4364,233786.6626,17535.2495,8.1458,64.8726,63.9826,93.9483466,9612.8972,57.5888,0,174.010187,48788.2732,2593.2565
1351K,12.3499,26820.1781,95.9439,79850.8012,7.4003,150.9725,0,4514.1003,2745.4802,10105.3216,222.79,9.6809,19.1858,0,63.2052,63766.9343,30381.9411,0,5.969,829.767,6989.7407,13331.5041,0,0,13144.7072,69725.7201,2588.8004
FMT.0185O,0,802.1148,195.2901,69.6604,0,0,0,22186.0662,3227.971,24981.2319,97.3408,99.9529,106.6349,0,162.3887,85524.7479,32680.9659,0,11.3336,26.6874,9668.1976,12554.3492,113.7902,0,24182.3388,27871.4531,2577.1231
1987F,0,1203.2858,113.6685,5946.0732,0,0,0,218.3240078,628.5018,323.5143086,76.6936,0,0,0,8.3526,6433.3024,11931.051,0,12.6358,146.2919,694.1519,980.4951,0,0,3098.9327,8784.1583,2564.6311
FMT.0010E,0,321.9604311,305.0547,2889.0974,0,6.1289,16.7014,2433.8194,1122.8306,3766.8228,48.8089,18.4198,109.6158,0,23.7068,24169.1359,15969.9009,0,9.5925,10.8564,527.9442,1331.9026,14.7459,0,2383.0496,1506.19,2471.2612
678E,0,9428.8236,198.3855,5180.0783,0,10.0519,0,4070.0844,1431.1523,7813.0622,33.4061,0,35.094,0,49.2989,13417.8236,15636.6765,0,17.8234,47.3214,8948.324,3350.6008,0,0,12480.8008,29312.6671,2413.2357
1262E,5.1327,7281.0418,169.8649,27951.6483,7.7723,10.1081,5.5042,3094.7272,2890.311,2202.048,118.7579,0,18.034300000000002,0,150.078,24544.794,13547.8609,0,42.4443,125.6813,5971.6838,9703.0734,0,0,5804.0193,22632.528,2357.6845
FMT.0112W,0,2631.7848,594.9996,14881.7594,45.1548,23.3605,9.5719,832.9743,522.4978,1254.9248,72.3002,0,8.2538,0,18.3709,790.6462,1945.3814,0,18.219,49.4926,2143.5597,2839.0959,0,0,928.1593,1079.43,2277.2109
723F,18.2488,31.541553,5.3195,768.5448,0,0,0,70060.7512,1177.0849,190361.6031,124.3001,92.3794,21.4981,6.049,125.4158,92600.0895,5025.4989,0,5.7612,13.0938,5625.5436,15444.2214,0,0,5330.4059,13157.2606,2252.3742
663D,0,10850.5218,541.9937,6405.774,0,31.7463,0,62357.7615,1647.5366,74326.8254,101.5057,32.5493,26.3501,0,125.6861,63470.3697,7155.8987,8.5785,21.475,54.193600000000004,1889.5124,12447.6798,0,0,1247.7853,68211.0906,2210.2264
1341A,0,504.8932,12.22,51.0169,0,20.6542,0,15830.9507,1922.5629,23518.4845,218.4406,87.019,77.4894,6.4109,203.1452,87309.501,41984.7306,147.9393,12.0363,9.8325,2228.1585,2793.6566,16.2746,0,4552.3349,70460.5651,2153.1257
FMT.0243J,0,921.9534,201.5499,1077.8547,7.5215,0,7.7482,2326.9413,119.6148,8255.2139,30.1417,11.1069,6.9137,0,0,14377.1663,3592.7123,0,12.4674,25.1828,0,0,0,0,0,14351.6227,2126.084
FMT.0067M,0,110.5481614,17.7037,91.6461,0,0,0,11538.0958,3737.9597,33985.9845,121.2194,22.0173,75.1648,0,124.8967,61849.6094,32792.4323,0,0,0,3513.3391,13008.4518,0,0,14782.6625,22333.0416,2102.8802
FMT.0062V,0,31.264569,34.4291,175.2122,8.9584,0,0,8999.16,3606.9397,35154.1021,416.0071,6.4079,37.8268,0,134.268,23869.8315,36036.7067,0,5.3077,0,1858.8795,5277.761,0,0,2544.3165,2499.9207,2099.7549
896E,0,8.5488034,150.0567,54.021,5.7275,0,0,4033.5516,3933.8374,10395.2074,456.6339,0,29.5901,0,134.0647,14502.391,31311.3865,0,10.3513,0,556.7657,1677.3631,0,0,2099.3702,171.0693853,2071.5485
563C,0,5324.4099,33.1612,15827.1003,0,141.3987,10.4342,26455.9513,2536.1171,59948.122,143.7948,625.3427,344.246,0,191.5487,89898.7091,25898.9019,7.5236,6.7602,49.1116,11057.8256,25149.1711,360.973,7.1666,23338.1552,91481.8481,1996.0425
FMT.0039B,0,45.5161652,41.1178,128.977,0,0,0,12109.1441,7315.552,23854.8502,187.1062,22.2962,138.1314,0,265.4427,68903.4502,64631.1682,0,5.8458,0,2024.212,5262.9859,0,0,8834.9766,5285.9877,1976.8897
FMT.0199B,0,941.0441,191.9153,7553.1159,0,13.8849,6.9655,1306.585,13.152,3099.8584,7.3791,0,0,0,0,6146.3694,202.3195407,0,75.4597,36.464,203.5505988,484.0869408,0,0,544.4932,14522.4642,1851.4313
FMT.0229K,0,364.7229137,9.7964,1208.9036,0,0,0,17454.8905,1489.1293,26715.806,67.898,0,17.231,0,107.0257,67860.6619,19477.0233,0,8.0521,8.244,2281.2881,3672.087,0,0,5585.4411,3390.9046,1840.4572
862D,0,3190.3022,132.3263,7610.4942,7.9312,27.9519,0,1567.0153,592.6606,4366.8205,46.7128,0,18.2204,0,56.443600000000004,13585.4435,8930.438,0,15.9692,46.631,2658.931,2876.9551,0,0,8421.5365,25144.3718,1779.2721
FMT.0194R,0,38.2214838,5.3487,44.3517,0,0,0,14366.3266,881.659,31574.85,52.8247,12.5344,17.9305,0,89.8921,88426.8241,18971.3432,0,0,0,4214.5827,9690.8232,0,0,17122.9534,3336.6293,1767.6405
2181L,0,59.5446354,14.0644,148.2509,0,0,0,12966.9331,1216.2114,17876.795,46.1744,28.2253,22.131,0,82.5041,78559.3179,23120.956,0,0,7.4698,2295.963,2671.4014,0,0,6608.5221,4705.2374,1755.0244
2147E,0,21.897124,0,143.3944,0,0,0,10349.7267,972.0868,16678.9125,69.8886,12.7373,20.8837,0,93.674,107239.4932,27045.151,0,0,0,1451.7431,2116.8212,5.5505,0,8883.118,5634.2417,1671.4227
FMT.0122J,0,5.4315793,15.2609,22.8185,0,0,14.5242,7975.109,1437.6693,3640.2711,33.0939,697.6364,900.7611,0,282.6981,44933.8375,34524.5853,0,0,0,1165.2246,515.7008,258.3796,0,2881.1559,127.8460421,1580.1889
FMT.0205K,0,2531.9724,212.7775,2624.4396,0,0,0,17722.145,591.6423,27277.3902,28.7528,7.208,0,0,37.5146,26835.3157,3393.5744,0,22.1353,16.2001,257.4673134,2379.0938,0,0,309.6130696,7340.6446,1515.3814
939C,0,0,30.7846,620.2794,6.7979,0,0,0,76.7596,8.2893065,41.9537,0,0,0,0,72.5961261,2735.8774,0,0,0,0,48.20099965,0,0,48.7255572,0,1508.3442
FMT.0200K,0,939.9552,250.629,4346.014,17.7566,2620.1146,79.2928,0,0,0,0,0,0,0,0,8.3017234,0,483.2758,93.1445,31.411,0,20.1332566,0,0,0,7094.8826,1467.5257
1108G,0,271.10578400000003,10.2409,21.3396,0,0,0,3635.5266,1245.6787,4946.6081,72.8965,0,18.8996,0,54.5943,22216.66,22943.7886,11.5149,0,0,868.1771,1363.828,0,0,4306.2822,58331.9436,1451.0458
1766O,0,15227.9265,73.3418,24365.421,0,52.5088,0,5975.0047,1226.8133,4387.1593,30.9195,5.7168,12.2827,0,63.0009,25565.6031,6769.7237,0,6.8343,131.3552,7198.1158,4495.9157,0,0,7539.6023,30122.9724,1434.7608
FMT.0118C,0,185.7620125,13.2478,117.3153,0,0,0,22518.3294,2684.6193,59848.0551,199.0582,0,26.4885,0,114.1664,85335.4347,28914.6036,0,0,0,4003.6551,10342.5411,0,0,10415.8636,31260.4073,1413.3841
1705N,0,29.8246369,6.2382,119.7443,0,0,0,29534.5634,1742.0075,61989.6705,64.1724,42.0736,18.4845,0,76.7439,79636.9183,11920.6943,0,0,0,4612.299,9619.5494,0,0,8545.8647,10975.4957,1410.6513
1063C,0,259.0061996,224.0498,3727.1416,5.3111,0,10.7596,324.4452021,103.8249,614.2393,16.229,0,0,0,11.0465,3344.8776,1220.3819,0,47.0347,7.8885,45.7666046,809.9821,0,0,297.4380865,3778.1735,1400.9884
1252CC,0,2265.3304,79.9296,2449.3076,0,0,0,0,74.4105,0,0,0,0,0,0,16.3838565,517.7743529,0,12.7973,9.7585,394.7016416,111.1941126,0,0,1366.123,38740.4777,1303.99
